user_id,hdfs_user_id
7b2e5fe9fd353fecf3eeebb4850b88d3,144442
bafc2d50014200cda7cb2b6acd60cd73,144443
24f6896efc60c9e52a3df7e77d3524c7,144444
d4b1dcb35db677f20ee45225a5e43be2,144445
8b5b85f0fc2c1873e5a7d8c09905c06f,144446
37e4d1438f5918fd1400c12b49b80f61,144447
6b5ffddfaca8dec2049e0bb0e2d6edf6,144448
d94ef0ee0ad59becc572d80520568820,144449
753746d5d26fea030b33299b34ea1299,144450
b4a528992a95a45f214f447b6cc5994d,144451
af5cabf2c2c2ea2fab00c261d28a98d2,144452
7e6b8a3e1bd0303dcffc10697cd3cec3,144453
9773b4c5dc241e38d76aff2cb96c96fd,144454
c9fdc034f8fa470718caf8a5bc62fc05,144455
20fd7b31a6445c3959594b61d3659274,144456
97bc695320ebf891e4188590ece82984,144457
0b71853f38070462eec520a82299a0b8,144458
c2e9c4efd53aaecf50ff506de091cd73,144459
7846945c7bd2f348d6017e1a100cee80,144460
b2c9d4aa042e474b0f41d7a9ffbcbd0e,144461
ef2372f1b42e9e21bc331f3f546559d6,144462
6d9db867ebce53e060a84e70aed0fa82,144463
89113aa512606f698d1cf3e24156fcd3,144464
7ac2d7ae85d32238aef75be05185f518,144465
2145246d3d2cb987d92c93c4756fe9bf,144466
b6174b6a37ec84e409e76d02c75b9831,144467
9379a05acd7b1752695fe92b3cd5da42,144468
1df3c24808ec92121a25fd91e0d15813,144469
723a2a35783fadad2a4f2e00c5e639d7,144470
5856e676034538043704b00a810e70f5,144471
bc0a6e1611f2c7d4285efc611b9b9074,144472
32a08b012b30025eeadedafefa379150,144473
a094a0e1e11ec54399b70d91f19263f3,144474
9f30590bdd5c8860cb36c8d02ab30fac,144475
4e9865acc1001cecf64e642fb0be4d0e,144476
4b8f211cd578824475202d6707c1449a,144477
181d71656a197e41993c217703d4e748,144478
22d5ab97b3f7caacc4d96ecbd2afc398,144479
0a499630d3aa027afd1cfcac30039ebd,144480
d20b7f6f262943fb5a7b77b11dcbdcf7,144481
b6e3bd19e5deb282d78d6ed27b5015ab,144482
0347f38d92a4ecf04a9021611d7b7389,144483
5d5fb3d0f2d7c60b3fbce355ce664206,144484
d4a2128d7062893c73517867e88cf7b0,144485
f738608ca1156562ff5d9038d5585a98,144486
a50c149f424cbc8443cd5ee41e6ce950,144487
bb063ff23ac230b839ea6764c0b5b7a3,144488
14ad2b6454df9eb3224014add134d986,144489
0dc6b1f2c9a7807b76f79634cd7e3cea,144490
850dceca43c131a759d4bbcac1ee0a2c,144491
8614945ad75db1c81ce14496301de6a6,144492
0ae8e3f059950b527c924e67b3e32df0,144493
43ab37295261e983214df3765d7a7785,144494
70686a4c092dea95da80bf6ba2fc3c8b,144495
8ea21706c613e5395dc3bba5f3808567,144496
e9331a40e3a9ba9c7b1a5d9b2d830aa7,144497
c3fa377cfc84401747630b98f92758c9,144498
83f06b3798313cee01dcfa746d2ccfb8,144499
ad9c61cff3b4e1b0fc54eb6e04eb09e0,144500
008f1f82f2438d77cca8f6909259d538,144501
6a6482b1e956afe80de05cb7de319c15,144502
431a5d4bcbae11bf56f25fe2902be7cd,144503
c007d5eb99b3804b3f4a9a764eee83e7,144504
9940d7576a14d736f1182c61143fc4ff,144505
90b206d005f68dc36fe0b9f1aa951f11,144506
0fa371b03af3d048b9d4bda1976d4434,144507
e532271874356102ca222289d9c3ba30,144508
9b9b4f31a1913ace97737e65bf970ae2,144509
683d9475aaa453f05f970c6ff3615db5,144510
15629f9be32b73a44f20071b83572eaf,144511
fa7ae2d308a2553394baddd236dd1250,144512
6de28612833b228cbce09487e83487d4,144513
ff57fafc13b2a5c99fbc68b3258c49e9,144514
c9a777dba6177f1ce20328aec635e5ee,144515
31bd0948b5d3893f1ad4c4b045c114ad,144516
f2127c2f106fe56ab4321b05b90acf25,144517
a60ab38606164613f8297c27b0642dd4,144518
82ce79cb1ef2b8482ce051644f0283f2,144519
c5feeba5b088cbc6a25b1a51c3cc68a1,144520
98c80fb7d9f525de4b48a0f14b3db5e2,144521
10e480b0872a1702c3e035dbcaecb020,144522
4e4a408329a0c67ee6be4768c1b8dc86,144523
0183d0d9e73c70b4e8ebc4cba7304ab8,144524
82f6866687c5627e3682e0028062f05f,144525
18291ed30c818e74a61e7967bb8fea2d,144526
675e6a96b8104daeaccfeff77424f8a1,144527
293c70456849902a074117ec57e1b50d,144528
9e2bf21555813fa87a066916ed1c1537,144529
4647b6eb2b4ce29aaecf4e9b0cfb11a1,144530
bedb52e674604e74887946c8458cbbc9,144531
befbb78a61b353b22cc930346bbfc1ed,144532
d0146fe4b6a241bd3411bb7d45e44690,144533
44a9a42715ef3e85e147907d69b90cff,144534
a37c645880e251a99ecc73608b33d53e,144535
7adb3568104b4f95604924650ed0b4da,144536
4a4831c3cf116cb5cbf6c07692c8068e,144537
8ec11e682758cce7bf307fcb1e68e735,144538
4b7e14cc88066bde47f46da082bb8210,144539
a8246759c4211a3e6b91e4bfcba3d511,144540
0e108e3a11e17bac18383fb6dc4cabaf,144541
